URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentTypeGroup (name),EstablishmentStatus (name),OpenDate,CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,SchoolCapacity,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,Trusts (name),FederationFlag (name),Federations (name),UKPRN,GOR (name),UrbanRural (name),GSSLACode (name),Easting,Northing,UPRN
108389,390,Gateshead,3325,St Joseph's Catholic Infant School Birtley,Voluntary aided school,Local authority maintained schools,Open,,,Primary,5,7,90,72,35,37,13.9,,Not under a federation,,10078341,North East,(England/Wales) Urban major conurbation,E08000037,427130,556097,10022990815
108390,390,Gateshead,3326,St Agnes' Catholic Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,200,204,94,110,2,,Not under a federation,,10074469,North East,(England/Wales) Urban major conurbation,E08000037,413787,563296,10022992618
108391,390,Gateshead,3327,St Joseph's Roman Catholic Voluntary Aided Primary School Highfield,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,112,106,53,53,14.2,,Not under a federation,,10074468,North East,(England/Wales) Rural town and fringe,E08000037,415556,558478,10070836469
108392,390,Gateshead,3328,St Mary and St Thomas Aquinas Catholic Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,210,242,130,112,7.1,,Not under a federation,,10074467,North East,(England/Wales) Urban major conurbation,E08000037,417154,563918,10022994378
108394,390,Gateshead,3330,St Philip Neri Roman Catholic Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,210,189,94,95,15.9,,Not under a federation,,10074466,North East,(England/Wales) Urban major conurbation,E08000037,423339,561932,10022985598
108395,390,Gateshead,3331,St Joseph's Catholic Primary School Blaydon,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,210,210,102,108,9.5,,Not under a federation,,10074465,North East,(England/Wales) Urban major conurbation,E08000037,418041,563019,10022994378
108396,390,Gateshead,3333,St Mary's Roman Catholic Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,210,206,130,76,1.9,,Not under a federation,,10074464,North East,(England/Wales) Urban major conurbation,E08000037,421334,561239,
108399,390,Gateshead,3336,St Augustine's Catholic Primary School,Voluntary aided school,Local authority maintained schools,Open but proposed to close,,31/05/2021,Primary,4,11,315,363,179,184,23.6,,Not under a federation,,10074462,North East,(England/Wales) Urban major conurbation,E08000037,429013,560760,10022985691
108400,390,Gateshead,3339,St Wilfrid's Roman Catholic Voluntary Aided Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,119,146,67,79,33.3,,Not under a federation,,10078166,North East,(England/Wales) Urban major conurbation,E08000037,426881,562582,10022991295
108410,390,Gateshead,4041,Kingsmeadow Community Comprehensive School,Community school,Local authority maintained schools,Open,01/01/1900,,Secondary,11,18,900,794,395,399,30.9,,Not under a federation,,10016174,North East,(England/Wales) Urban major conurbation,E08000037,422294,561782,10070838063
108426,390,Gateshead,7006,Furrowfield School,Community special school,Special schools,Open,,,Not applicable,11,16,71,68,56,12,47.1,,Not under a federation,,10018036,North East,(England/Wales) Urban major conurbation,E08000037,427510,560498,1.00E+11
108427,391,Newcastle upon Tyne,1000,Ashfield Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,2,5,,165,90,75,11.6,,Supported by a federation,Newcastle Nursery Schools Federation,,North East,(England/Wales) Urban major conurbation,E08000021,423394,563891,4510104346
108428,391,Newcastle upon Tyne,1001,Cruddas Park Early Years Centre,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,2,5,,41,26,15,4.9,,Not under a federation,,,North East,(England/Wales) Urban major conurbation,E08000021,423162,563328,4510003240
108430,391,Newcastle upon Tyne,1004,Newburn Manor Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,2,5,,86,43,43,2.2,,Supported by a federation,Newcastle Nursery Schools Federation,,North East,(England/Wales) Urban major conurbation,E08000021,416712,565736,4510701003
108431,391,Newcastle upon Tyne,1005,Monkchester Road Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,2,5,,167,74,93,40.7,,Supported by a federation,Newcastle Nursery Schools Federation,,North East,(England/Wales) Urban major conurbation,E08000021,428139,564125,4510138297
108437,391,Newcastle upon Tyne,2000,Dinnington First School,Foundation school,Local authority maintained schools,Open,,,Primary,3,9,236,170,81,89,16.2,Gosforth Schools' Trust,Not under a federation,,10078745,North East,(England/Wales) Rural town and fringe,E08000021,421091,573258,4510137657
108438,391,Newcastle upon Tyne,2001,Archibald First School,Foundation school,Local authority maintained schools,Open,,,Primary,3,9,352,344,180,164,12.9,Gosforth Schools' Trust,Not under a federation,,10078744,North East,(England/Wales) Urban major conurbation,E08000021,424095,568136,4510021988
108439,391,Newcastle upon Tyne,2002,South Gosforth First School,Foundation school,Local authority maintained schools,Open,,,Primary,5,9,300,299,146,153,5,Gosforth Schools' Trust,Not under a federation,,10078743,North East,(England/Wales) Urban major conurbation,E08000021,425118,567576,4510139332
108440,391,Newcastle upon Tyne,2003,Regent Farm First School,Foundation school,Local authority maintained schools,Open,,,Primary,3,9,300,341,164,177,35.8,Gosforth Schools' Trust,Not under a federation,,10078742,North East,(England/Wales) Urban major conurbation,E08000021,423302,568788,4510094622
108442,391,Newcastle upon Tyne,2005,Gosforth Park First School,Foundation school,Local authority maintained schools,Open,,,Primary,3,9,225,267,124,143,7.2,Gosforth Schools' Trust,Not under a federation,,10077815,North East,(England/Wales) Urban major conurbation,E08000021,424559,569326,4510060251
108443,391,Newcastle upon Tyne,2006,Broadway East First School,Foundation school,Local authority maintained schools,Open,,,Primary,5,9,225,217,120,97,7.4,Gosforth Schools' Trust,Not under a federation,,10077814,North East,(England/Wales) Urban major conurbation,E08000021,424559,569326,4510060251
108444,391,Newcastle upon Tyne,2009,Grange First School,Foundation school,Local authority maintained schools,Open,,,Primary,3,9,352,353,191,162,16.8,Gosforth Schools' Trust,Not under a federation,,10077813,North East,(England/Wales) Urban major conurbation,E08000021,423882,568860,4510076528
108446,391,Newcastle upon Tyne,2012,Throckley Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,2,11,315,340,176,164,48.3,Outer West Learning Trust,Not under a federation,,10069396,North East,(England/Wales) Urban major conurbation,E08000021,415405,566989,4510716610
108447,391,Newcastle upon Tyne,2013,Newburn Manor Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,4,11,210,198,101,97,34.3,Outer West Learning Trust,Not under a federation,,10069395,North East,(England/Wales) Urban major conurbation,E08000021,416773,565717,4510701005
108449,391,Newcastle upon Tyne,2015,West Denton Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,367,304,159,145,45,Outer West Learning Trust,Not under a federation,,10069326,North East,(England/Wales) Urban major conurbation,E08000021,418775,566364,4510021603
108450,391,Newcastle upon Tyne,2016,Knop Law Primary School,Community school,Local authority maintained schools,Open,,,Primary,4,11,420,360,185,175,13.3,,Not under a federation,,10069022,North East,(England/Wales) Urban major conurbation,E08000021,417962,566719,4510730551
108451,391,Newcastle upon Tyne,2017,Milecastle Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,4,11,210,197,96,101,22.8,Outer West Learning Trust,Not under a federation,,10069394,North East,(England/Wales) Urban major conurbation,E08000021,418206,567023,4510137666
108453,391,Newcastle upon Tyne,2020,Waverley Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,315,221,120,101,36.7,Outer West Learning Trust,Not under a federation,,10069393,North East,(England/Wales) Urban major conurbation,E08000021,419116,564867,4510033670
108454,391,Newcastle upon Tyne,2021,Simonside Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,315,243,121,122,64.2,Outer West Learning Trust,Not under a federation,,10069392,North East,(England/Wales) Urban major conurbation,E08000021,419586,568192,4510007439
108456,391,Newcastle upon Tyne,2030,Lemington Riverside Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,210,145,78,67,62.1,Outer West Learning Trust,Not under a federation,,10069391,North East,(England/Wales) Urban major conurbation,E08000021,418649,564728,4510044292
108457,391,Newcastle upon Tyne,2031,Westerhope Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,420,399,218,181,29.5,Outer West Learning Trust,Not under a federation,,10069390,North East,(England/Wales) Urban major conurbation,E08000021,419054,567320,4510716609
108458,391,Newcastle upon Tyne,2032,Byker Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,494,520,256,264,66.1,,Not under a federation,,10069958,North East,(England/Wales) Urban major conurbation,E08000021,426970,564376,4510118034
108459,391,Newcastle upon Tyne,2050,Benton Park Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,450,442,239,203,11.6,,Not under a federation,,10069325,North East,(England/Wales) Urban major conurbation,E08000021,426955,567875,4510138394
108460,391,Newcastle upon Tyne,2080,Hawthorn Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,4,11,222,218,112,106,50.9,West End Schools Trust,Not under a federation,,10069324,North East,(England/Wales) Urban major conurbation,E08000021,423357,563851,4510027652
108461,391,Newcastle upon Tyne,2090,Canning Street Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,2,11,480,468,230,238,35.2,West End Schools Trust,Not under a federation,,10069389,North East,(England/Wales) Urban major conurbation,E08000021,421961,564327,4510138471
108463,391,Newcastle upon Tyne,2100,Chillingham Road Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,2,11,260,247,123,124,28.5,,Not under a federation,,10069388,North East,(England/Wales) Urban major conurbation,E08000021,427111,565566,4510000236
108465,391,Newcastle upon Tyne,2170,Cragside Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,4,11,420,414,213,201,8.9,,Not under a federation,,10069387,North East,(England/Wales) Urban major conurbation,E08000021,426490,567245,4510113254
108466,391,Newcastle upon Tyne,2210,Bridgewater Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,480,457,235,222,47.7,West End Schools Trust,Not under a federation,,10075854,North East,(England/Wales) Urban major conurbation,E08000021,420987,564102,4510105087
108468,391,Newcastle upon Tyne,2225,Broadwood Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,420,262,128,134,51.5,West End Schools Trust,Not under a federation,,10069323,North East,(England/Wales) Urban major conurbation,E08000021,419614,565124,4510070259
108475,391,Newcastle upon Tyne,2670,Ravenswood Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,690,643,319,324,19.5,,Not under a federation,,10069386,North East,(England/Wales) Urban major conurbation,E08000021,427144,566379,4510092064
108476,391,Newcastle upon Tyne,2720,St Johns Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,210,236,116,120,64,West End Schools Trust,Not under a federation,,10069385,North East,(England/Wales) Urban major conurbation,E08000021,422178,563626,4510065042
108487,391,Newcastle upon Tyne,2960,Wingrove Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,472,471,237,234,27.7,West End Schools Trust,Not under a federation,,10069322,North East,(England/Wales) Urban major conurbation,E08000021,422523,564902,4510115390
108491,391,Newcastle upon Tyne,2998,Hotspur Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,420,455,250,205,31.4,,Not under a federation,,10069384,North East,(England/Wales) Urban major conurbation,E08000021,426291,564971,4510141701
108492,391,Newcastle upon Tyne,2999,Moorside Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,2,11,503,473,232,241,40,West End Schools Trust,Not under a federation,,10078380,North East,(England/Wales) Urban major conurbation,E08000021,423419,564755,4510007880
108493,391,Newcastle upon Tyne,3321,Christ Church CofE Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,140,144,77,67,57.6,,Not under a federation,,10075940,North East,(England/Wales) Urban major conurbation,E08000021,425532,564589,4510701540
108495,391,Newcastle upon Tyne,3471,Archbishop Runcie CofE First School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,9,176,163,81,82,13.2,,Not under a federation,,10077812,North East,(England/Wales) Urban major conurbation,E08000021,425080,568383,4510021988
108497,391,Newcastle upon Tyne,3473,St Oswald's RC Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,210,208,109,99,5.8,,Not under a federation,,10074460,North East,(England/Wales) Urban major conurbation,E08000021,424574,569215,4510116191
108501,391,Newcastle upon Tyne,3477,St John Vianney RC Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,473,431,222,209,15.8,,Not under a federation,,10074456,North East,(England/Wales) Urban major conurbation,E08000021,418689,566453,4510021603
108502,391,Newcastle upon Tyne,3485,St Paul's CofE Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,266,269,156,113,33.5,,Not under a federation,,10075939,North East,(England/Wales) Urban major conurbation,E08000021,423790,563957,4510054347
108506,391,Newcastle upon Tyne,3765,St Cuthbert's Catholic Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,210,240,110,130,24,,Not under a federation,,10074453,North East,(England/Wales) Urban major conurbation,E08000021,422001,567965,4510013813
108508,391,Newcastle upon Tyne,3781,St Joseph's Catholic Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,3,11,236,216,106,110,33.3,,Not under a federation,,10074451,North East,(England/Wales) Urban major conurbation,E08000021,421442,563919,4510006355
108513,391,Newcastle upon Tyne,3835,St Teresa's Catholic Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,210,213,116,97,12.2,,Not under a federation,,10074448,North East,(England/Wales) Urban major conurbation,E08000021,426830,565636,4510139279
108514,391,Newcastle upon Tyne,3842,St Vincent's RC Primary School,Voluntary aided school,Local authority maintained schools,Open,,,Primary,4,11,210,206,111,95,47.6,,Not under a federation,,10074447,North East,(England/Wales) Urban major conurbation,E08000021,428115,563628,4510084236
108519,391,Newcastle upon Tyne,4190,Gosforth Central Middle School,Foundation school,Local authority maintained schools,Open,,,Middle deemed secondary,9,13,535,514,271,243,13.8,Gosforth Schools' Trust,Not under a federation,,10018458,North East,(England/Wales) Urban major conurbation,E08000021,424555,568491,4510064832
108521,391,Newcastle upon Tyne,4305,Gosforth East Middle School,Foundation school,Local authority maintained schools,Open,,,Middle deemed secondary,9,13,512,513,247,266,11.9,Gosforth Schools' Trust,Not under a federation,,10018757,North East,(England/Wales) Urban major conurbation,E08000021,424625,569088,4510024394
108563,392,North Tyneside,1001,Sir James Knott Memorial Nursery School,Local authority nursery school,Local authority maintained schools,Open,,,Nursery,2,4,,108,56,52,0,,Not under a federation,,,North East,(England/Wales) Urban major conurbation,E08000022,436448,568961,47053292
108565,392,North Tyneside,1100,Moorbridge,Pupil referral unit,Local authority maintained schools,Open,,,Not applicable,11,16,88,81,46,35,49.4,,Not applicable,,10016840,North East,(England/Wales) Urban major conurbation,E08000022,431588,571660,47225737
108569,392,North Tyneside,2000,Cullercoats Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,431,433,226,207,7.4,,Not under a federation,,10072203,North East,(England/Wales) Urban major conurbation,E08000022,436259,571098,47058661
108571,392,North Tyneside,2004,Waterville Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,210,241,136,105,48,,Not under a federation,,10068757,North East,(England/Wales) Urban major conurbation,E08000022,434973,567812,47102393
108572,392,North Tyneside,2008,Percy Main Primary School,Community school,Local authority maintained schools,Open,,,Primary,2,11,300,219,116,103,39.2,,Not under a federation,,10078379,North East,(England/Wales) Urban major conurbation,E08000022,433710,566982,47064411
108573,392,North Tyneside,2013,King Edward Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,3,11,420,478,235,243,7.6,The North Tyneside Learning Trust,Not under a federation,,10069383,North East,(England/Wales) Urban major conurbation,E08000022,435628,569257,47072144
108574,392,North Tyneside,2016,Spring Gardens Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,452,412,207,205,28.2,,Not under a federation,,10072202,North East,(England/Wales) Urban major conurbation,E08000022,435047,568640,47083982
108575,392,North Tyneside,2021,Riverside Primary School,Community school,Local authority maintained schools,Open,,,Primary,3,11,236,163,72,91,63.9,,Not under a federation,,10077171,North East,(England/Wales) Urban major conurbation,E08000022,434550,567590,47101808
108576,392,North Tyneside,2022,Monkhouse Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,5,11,237,215,130,85,11.6,The North Tyneside Learning Trust,Not under a federation,,10069382,North East,(England/Wales) Urban major conurbation,E08000022,435641,570364,47092072
108577,392,North Tyneside,2024,Whitehouse Primary School,Foundation school,Local authority maintained schools,Open,,,Primary,2,11,210,233,126,107,37.9,The North Tyneside Learning Trust,Not under a federation,,10069321,North East,(England/Wales) Urban major conurbation,E08000022,434214,569559,47097049
