Time period,Time identifier,Geographic level,Country name,Country code,Region name,Region code,LA name,LA code (old),LA code (new),School phase,School Name,School LA Estab ID,URN,Total Revenue Balance (£),B01 Committed revenue balance (£),B02 Uncommitted revenue balance (£),B06 Community focussed extended school revenue balance (£),Total revenue balance as a % of total income
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Blaydon West Primary School,3902182,108349,134058.1,134058.1,0,0,13
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Front Street Community Primary School,3902184,108350,177294.3,177294.3,0,0,9
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Highfield Community Primary School,3902186,108351,73948.97,73948.97,0,0,8.3
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Ryton Community Infant School,3902188,108352,-34035.69,0,-34035.69,0,-5.5
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Ryton Junior School,3902193,108355,-21805.92,0,-21805.92,0,-2.6
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Washingwell Community Primary School,3902194,108356,5088.06,5088.06,0,0,0.7
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Bill Quay Primary School,3902197,108357,-47015.85,0,-47015.85,0,-4.6
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Falla Park Community Primary School,3902198,108358,70813.52,70813.52,0,0,5.3
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Brandling Primary School,3902200,108359,279281.2,279281.2,0,0,22.7
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Lingey House Primary School,3902205,108360,221847.4,221847.4,0,0,10.3
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,The Drive Community Primary School,3902213,108361,11190.83,11190.83,0,0,1.1
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,White Mere Community Primary School,3902214,108362,-184807.2,0,-184807.2,0,-22.4
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Clover Hill Community Primary School,3902216,108363,137114,137114,0,0,14.6
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Crookhill Community Primary School,3902219,108366,10091.97,10091.97,0,0,1
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Brighton Avenue Primary School,3902221,108368,13374.3,13374.3,0,0,0.7
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Lobley Hill Primary School,3902222,108369,50460.73,50460.73,0,0,2.5
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Wardley Primary School,3902224,108371,113123.7,113123.7,0,0,7.9
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Glynwood Community Primary School,3902225,108372,121482.1,121482.1,0,0,5.7
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Barley Mow Primary School,3902226,108373,7529.2,7529.2,0,0,0.7
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Windy Nook Primary School,3902227,108374,120907.3,120907.3,0,0,8.1
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Colegate Community Primary School,3902228,108375,-68711.08,0,-68711.08,0,-6.9
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Roman Road Primary School,3902229,108376,113806.8,113806.8,0,0,9.8
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Fellside Community Primary School,3902231,108378,41847.62,41847.62,0,0,4
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Fell Dyke Community Primary School,3902232,108379,180147.4,180147.4,0,0,9.8
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Caedmon Community Primary School,3902233,108380,147627.3,147627.3,0,0,10.7
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Kells Lane Primary School,3902234,131106,82733.22,82733.22,0,0,4.6
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Chopwell Primary School,3902235,131107,162659.6,144617.1,0,18042.5,12.5
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Parkhead Community Primary School,3902236,131466,80725.21,80725.21,0,0,4.5
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Aidan's Church of England Primary School,3902237,132145,58487.28,58487.28,0,0,4.8
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Harlow Green Community Primary School,3902238,131077,224201.9,224201.9,0,0,10.4
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Rowlands Gill Community Primary School,3902239,131081,-274824.8,0,-274824.8,0,-18.1
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Whickham Parochial Church of England Primary School,3903001,108381,-27870.38,0,-27870.38,0,-3
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,Corpus Christi Catholic Primary School,3903313,108382,199876.9,199876.9,0,0,18.2
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Joseph's Roman Catholic Voluntary Aided Primary School Gateshead,3903317,108383,56853.98,56853.98,0,0,5.5
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Oswald's Roman Catholic Voluntary Aided Primary School,3903318,108384,166742.4,166742.4,0,0,14.5
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Peter's Roman Catholic Voluntary Aided Primary School,3903319,108385,57177.41,57177.41,0,0,5.9
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Anne's Catholic Primary School,3903322,108386,-2708.47,0,-2708.47,0,-1.8
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Joseph's Catholic Junior School Birtley,3903324,108388,96159.28,96159.28,0,0,14.8
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Joseph's Catholic Infant School Birtley,3903325,108389,80656.36,80656.36,0,0,18.3
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Agnes' Catholic Primary School,3903326,108390,20323.55,20323.55,0,0,2.3
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Joseph's Roman Catholic Voluntary Aided Primary School Highfield,3903327,108391,78161.26,78161.26,0,0,13.3
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Mary and St Thomas Aquinas Catholic Primary School,3903328,108392,45365.32,45365.32,0,0,4.3
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Philip Neri Roman Catholic Primary School,3903330,108394,24511.44,24511.44,0,0,2.7
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Joseph's Catholic Primary School Blaydon,3903331,108395,59260.12,59260.12,0,0,6.1
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Mary's Roman Catholic Primary School,3903333,108396,38165.72,38165.72,0,0,4
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Alban's Catholic Primary School,3903335,108398,25703.46,25703.46,0,0,2.4
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Augustine's Catholic Primary School,3903336,108399,180532.1,180532.1,0,0,11.4
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Primary,St Wilfrid's Roman Catholic Voluntary Aided Primary School,3903339,108400,11088.22,11088.22,0,0,1.3
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Secondary,Kingsmeadow Community Comprehensive School,3904041,108410,725736.6,725736.6,0,0,12
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Special,Furrowfield School,3907006,108426,130334.9,130334.9,0,0,6.1
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Special,Gibside School,3907007,131213,776625.1,776625.1,0,0,22.2
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Special,Hill Top School,3907008,130942,-169327.7,0,-169327.7,0,-7.1
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Special,Dryden School,3907009,131200,-117707.1,0,-117707.1,0,-10.2
201920,Financial year,School,England,E92000001,North East,E12000001,Gateshead,390,E08000037,Special,Eslington Primary School,3907010,133397,-110644.6,0,-110644.6,0,-7.5
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Nursery,Ashfield Nursery School,3911000,108427,73235.97,1420,68445.97,3370,11.6
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Nursery,Cruddas Park Early Years Centre,3911001,108428,-155551.6,3874.5,-183761.6,24335.5,-63.6
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Nursery,Newburn Manor Nursery School,3911004,108430,121021.1,42854.57,79531.15,-1364.57,26.6
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Nursery,Monkchester Road Nursery School,3911005,108431,201176.2,53080,148096.2,0,25.4
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Dinnington First School,3912000,108437,1770.71,0,-709.29,2480,0.2
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Archibald First School,3912001,108438,168659.3,0,170740.5,-2081.2,11.2
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,South Gosforth First School,3912002,108439,74643.54,0,74643.54,0,6.1
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Regent Farm First School,3912003,108440,259535.8,1129,245375.8,13031,15
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Gosforth Park First School,3912005,108442,9212.6,0,9212.6,0,0.8
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Broadway East First School,3912006,108443,126147.6,65140,59187.58,1820,12.8
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Grange First School,3912009,108444,60910.76,0,40089.67,20821.09,4.2
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Throckley Primary School,3912012,108446,249686.8,0,249686.8,0,13.4
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Newburn Manor Primary School,3912013,108447,154103.4,82092,72011.43,0,14.4
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,West Denton Primary School,3912015,108449,253572.3,66075.98,186978.3,518.02,14.8
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Knop Law Primary School,3912016,108450,17501.51,0,17501.51,0,1
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Milecastle Primary School,3912017,108451,71886.58,39300,32586.58,0,7.2
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Waverley Primary School,3912020,108453,9113.75,1480,7633.75,0,0.7
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Simonside Primary School,3912021,108454,117263.9,0,117263.9,0,7.9
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Lemington Riverside Primary School,3912030,108456,-38656.2,0,-39656.2,1000,-4.6
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Westerhope Primary School,3912031,108457,159996.1,625.7,135736.1,23634.3,8.3
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Byker Primary School,3912032,108458,319028.2,163886.6,155141.7,0,11.1
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,West Jesmond Primary School,3912033,131203,128991.5,0,-69315.94,198307.4,4.5
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Benton Park Primary School,3912050,108459,49425.59,13604.46,33261.83,2559.3,2.6
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Hawthorn Primary School,3912080,108460,256128.3,88874,167254.3,0,17
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Canning Street Primary School,3912090,108461,592444.9,81067.91,592444.9,-81067.91,23.1
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Chillingham Road Primary School,3912100,108463,127502.4,51997.87,71288.4,4216.13,10.1
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Cragside Primary School,3912170,108465,137174,0,137174,0,7.3
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Bridgewater Primary School,3912210,108466,266406.6,144850,49597.89,71958.74,9
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Broadwood Primary School,3912225,108468,223117.4,13850,209267.4,0,13.5
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Ravenswood Primary School,3912670,108475,349685.3,50364,299321.3,0,13.1
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Johns Primary School,3912720,108476,244340,106973.9,181220,-43853.93,16.5
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Wingrove Primary School,3912960,108487,224757.8,101900,122857.8,0,10.1
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Hotspur Primary School,3912998,108491,327197.2,114073.2,208917.2,4206.83,14.9
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Moorside Primary School,3912999,108492,403134.1,103500,299634.1,0,16.5
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Christ Church CofE Primary School,3913321,108493,39270.36,3060,36210.36,0,4.5
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Archbishop Runcie CofE First School,3913471,108495,-56854.92,0,-56854.92,0,-7.2
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Charles' RC Primary School,3913472,108496,161855.3,88289.35,62447.27,11118.65,15
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Oswald's RC Primary School,3913473,108497,47374.12,20790,26584.12,0,5.1
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Mark's RC Primary School,3913474,108498,115011.8,11520,103491.8,0,9.7
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St George's RC Primary School,3913475,108499,128401,5680,125491,-2770,15
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Cuthbert's RC Primary School,3913476,108500,113016.6,35650.82,77165.57,200.18,12.5
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St John Vianney RC Primary School,3913477,108501,123849.5,27900,95949.52,0,7.3
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Paul's CofE Primary School,3913485,108502,110170.7,0,109937.9,232.81,7.8
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,English Martyrs' RC Primary School,3913650,108503,410189.3,31028.73,304425.3,74735.27,18.9
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Sacred Heart RC Primary School,3913662,108504,25648.13,0,25648.13,0,13.5
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Bede's RC Primary School,3913762,108505,149077.2,11520,137557.2,0,14.4
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Cuthbert's Catholic Primary School,3913765,108506,148278.6,34609.4,108878.6,4790.6,11.5
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Catherine's RC Primary School,3913778,108507,79998.55,0,75192.33,4806.22,7.3
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Joseph's Catholic Primary School,3913781,108508,66544.69,3510,63034.69,0,5.7
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Lawrence's RC Primary School,3913792,108509,122953.6,10540,112413.6,0,9.3
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Our Lady and St Anne's RC Primary School,3913799,108510,31861.28,0,27439.35,4421.93,2.6
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Teresa's Catholic Primary School,3913835,108513,225635.6,102062.4,116465.6,7107.61,21.9
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Vincent's RC Primary School,3913842,108514,590354.7,487630,102724.7,0,47.6
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,St Alban's RC Primary School,3913874,108515,133389.2,42880,90509.17,0,11
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Primary,Brunton First School,3913875,135286,233138.5,3229.18,229909.3,0,12.3
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Middle deemed secondary,Gosforth Central Middle School,3914190,108519,461998.2,146100,315898.2,0,18.2
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Middle deemed secondary,Gosforth East Middle School,3914305,108521,220106.6,0,218197.9,1908.7,9
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Secondary,Walbottle Campus,3914430,108524,352741.3,35266.02,301231.3,16243.98,3.3
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Secondary,Heaton Manor School,3914494,108531,-168592.9,0,-170772.9,2180,-4.9
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Special,Hadrian School,3917034,131986,145107.5,0,145107.5,0,4.2
201920,Financial year,School,England,E92000001,North East,E12000001,Newcastle upon Tyne,391,E08000021,Special,Sir Charles Parsons School,3917035,131987,409190.3,16620,392570.3,0,10.7
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Nursery,Sir James Knott Memorial Nursery School,3921001,108563,127497.8,96000,31497.77,0,22
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Pupil referral unit,Moorbridge,3921100,108565,57626.58,0,57626.58,0,2.3
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Cullercoats Primary School,3922000,108569,100523.1,6299.84,94223.25,0,4.8
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Waterville Primary School,3922004,108571,-1802.43,0,-1802.43,0,-0.1
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Percy Main Primary School,3922008,108572,19063.12,4987,14076.12,0,1.3
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,King Edward Primary School,3922013,108573,73344.31,6017.66,67326.65,0,3.3
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Spring Gardens Primary School,3922016,108574,36370.17,18482,17888.17,0,1.8
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Riverside Primary School,3922021,108575,30262.31,15831,14431.31,0,3.1
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Monkhouse Primary School,3922022,108576,94047.72,17008,77039.72,0,8
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Whitehouse Primary School,3922024,108577,70629.39,6219,64410.39,0,5.5
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Preston Grange Primary School,3922026,108578,7507.08,5492.66,2014.42,0,0.7
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Shiremoor Primary School,3922031,108579,282657.4,84936.29,197721.1,0,12.8
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Backworth Park Primary School,3922032,108580,190978.8,100275,90703.75,0,15.5
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Holystone Primary School,3922036,108581,-51480.93,0,-51480.93,0,-2.6
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Westmoor Primary School,3922037,108582,88457.22,23038,65419.22,0,5.4
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Rockcliffe First School,3922041,108583,32198.39,2236,29962.39,0,2.6
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Appletree Gardens First School,3922042,108584,156094,61708,92347.56,2038.47,9.5
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Southridge First School,3922046,108585,221425.3,74206,147219.3,0,15.8
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Amberley Primary School,3922048,108586,7650.96,2982.43,4668.53,0,0.4
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Bailey Green Primary School,3922054,108587,433399.7,77863,163103.8,192432.9,16.4
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,South Wellfield First School,3922055,108588,98063.05,21168,76895.05,0,7.3
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Marine Park First School,3922058,108589,53663.73,0,53663.73,0,2.1
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Coquet Park First School,3922059,108590,10936.11,5072,5864.11,0,1.2
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Langley First School,3922060,108591,129975.5,38657,91318.47,0,8.9
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Carville Primary School,3922062,108592,110274.7,23000,87274.73,0,9.9
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Wallsend Jubilee Primary School,3922065,108594,63297.06,28371,34926.06,0,3.9
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Battle Hill Primary School,3922068,108595,56437.34,19800,36637.34,0,2.6
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Richardson Dees Primary School,3922069,108596,108761.1,9598,99163.15,0,8.2
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Stephenson Memorial Primary School,3922070,108597,151577.7,3942,147635.7,0,7.2
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Redesdale Primary School,3922072,108599,86043.99,6541.36,79502.63,0,7.6
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Whitley Lodge First School,3922074,108600,31808.87,24375.2,7433.67,0,2.7
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Collingwood Primary School,3922076,108602,218403.3,83165,135238.3,0,11.1
201920,Financial year,School,England,E92000001,North East,E12000001,North Tyneside,392,E08000022,Primary,Balliol Primary School,3922077,108603,29797.76,0,29797.76,0,2.7
